14:29:30 INFO  : Registering command handlers for SDK TCF services
14:29:31 INFO  : Launching XSCT server: xsct.bat -interactive C:\Users\bntha\Desktop\ZedBoard_Tuturial\project_first_zynq_design\project_first_zynq_design.sdk\temp_xsdb_launch_script.tcl
14:29:33 INFO  : XSCT server has started successfully.
14:29:33 INFO  : Successfully done setting XSCT server connection channel  
14:29:33 INFO  : Successfully done setting SDK workspace  
14:29:33 INFO  : Processing command line option -hwspec C:/Users/bntha/Desktop/ZedBoard_Tuturial/project_first_zynq_design/project_first_zynq_design.sdk/first_zynq_system_wrapper.hdf.
14:32:34 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
14:32:59 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
14:32:59 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Zed 210248774543" && level==0} -index 1' command is executed.
14:33:01 INFO  : FPGA configured successfully with bitstream "C:/Users/bntha/Desktop/ZedBoard_Tuturial/project_first_zynq_design/project_first_zynq_design.sdk/first_zynq_system_wrapper_hw_platform_0/first_zynq_system_wrapper.bit"
14:33:13 WARN  : Given IPC port value is invalid. Using default port 2350
14:33:13 WARN  : Given XMD timeout value is invalid. Using default value of 50000
14:33:17 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
14:33:18 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
14:33:29 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
14:33:30 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
14:33:30 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
14:33:30 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
14:33:30 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
14:33:30 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
14:33:30 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
14:33:30 INFO  : ps7_init is completed.
14:33:30 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
14:33:30 INFO  : ps7_post_config is completed.
14:33:30 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
14:33:31 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
14:33:31 INFO  : Processor reset is completed for ps7_cortexa9_0
14:33:31 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
14:33:31 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
14:33:31 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
14:33:31 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
14:33:31 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
14:33:31 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
14:34:50 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
14:34:50 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
14:34:50 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
14:34:50 ERROR : Unexpected error while parsing XMD response ?: com.google.gson.JsonSyntaxException: com.google.gson.stream.MalformedJsonException: invalid number or unquoted string near 
